N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"60,400","1,200",+2.03%,100,"3,605,749","5,969,783",49.92,"10,427,366",9.80,13.92,
2,LG에너지솔루션,"515,000","16,000",-3.01%,500,"1,205,100","234,000",5.13,"601,553",209.86,10.68,
3,SK하이닉스,"81,500","2,700",+3.43%,"5,000","593,322","728,002",49.84,"2,968,974",6.40,16.84,
4,삼성바이오로직스,"827,000",0,0.00%,"2,500","588,609","71,174",10.76,"47,654",112.27,8.21,
5,삼성전자우,"54,700","1,500",+2.82%,100,"450,119","822,887",71.72,"823,153",8.87,N/A,
6,삼성SDI,"645,000","48,000",-6.93%,"5,000","443,531","68,765",47.22,"427,030",26.45,8.45,
7,LG화학,"627,000","43,000",-6.42%,"5,000","442,614","70,592",48.15,"435,568",22.06,18.47,
8,현대차,"162,500",500,+0.31%,"5,000","347,211","213,668",29.05,"459,995",7.25,6.84,
9,NAVER,"195,000","9,500",+5.12%,100,"319,896","164,049",48.75,"1,077,585",34.36,106.72,
10,기아,"65,200",500,+0.77%,"5,000","264,297","405,363",36.23,"1,007,430",5.72,14.69,
11,카카오,"58,100","2,600",+4.68%,100,"258,783","445,410",26.85,"2,388,980",16.66,17.10,
12,셀트리온,"180,500","4,000",+2.27%,"1,000","254,153","140,805",21.51,"432,138",42.80,16.04,
13,POSCO홀딩스,"284,000","2,500",-0.87%,"5,000","240,182","84,571",51.48,"483,821",4.65,13.97,
14,삼성물산,"118,500","1,000",+0.85%,100,"221,461","186,887",16.88,"176,927",12.52,5.40,
15,KB금융,"52,600","2,200",+4.37%,"5,000","215,080","408,897",73.11,"2,051,136",4.66,9.80,
16,현대모비스,"208,500","2,500",+1.21%,"5,000","196,584","94,285",36.40,"170,154",8.23,6.87,
17,신한지주,"38,000",600,+1.60%,"5,000","193,338","508,785",62.17,"2,042,359",4.24,8.80,
18,SK이노베이션,"168,500","5,000",+3.06%,"5,000","155,804","92,466",25.67,"415,242",7.13,1.91,
19,SK,"203,500",500,-0.25%,200,"150,894","74,149",22.57,"148,459",4.41,10.19,
20,포스코케미칼,"193,000","11,000",-5.39%,500,"149,504","77,463",8.74,"1,160,469",92.97,7.92,
21,LG전자,"91,000","1,200",+1.34%,"5,000","148,920","163,648",26.19,"595,023",10.41,6.32,
22,삼성생명,"73,700",900,+1.24%,500,"147,400","200,000",13.58,"525,407",20.80,4.01,
23,하나금융지주,"46,450","1,650",+3.68%,"5,000","137,447","295,903",70.29,"1,432,296",3.75,10.86,
24,한국전력,"21,000","1,650",+8.53%,"5,000","134,812","641,964",14.29,"3,782,923",-0.66,-7.99,
25,KT&G,"98,000",900,-0.91%,"5,000","134,547","137,292",43.21,"331,956",11.58,10.74,
